longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,11.643076149435274
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,11.50992095594993
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,11.7950923567339
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,11.585246126549855
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,11.448920134994315
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,11.566466231898259
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,11.598185308921051
-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,11.790557201568507
-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,11.714232321675263
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,11.654425027243928
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,11.611865412825132
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,11.560762794384388
-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,11.605504646263322
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,11.48452599044853
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,11.556942350387002
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,11.551184177087318
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,12.162120758000992
-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,12.078239274020289
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,11.953757716915684
-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,11.918390573078392
-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,11.685196685910682
-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,12.148443532693538
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,12.12486259010463
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,12.113408960666755
-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,11.867097278690842
-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,11.831379196088763
-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,12.141534124392603
-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,11.630708500626612
-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,12.05466819137094
-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,11.448920134994315
-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,11.487607656985938
-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,11.554067408301403
-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,11.379394072345706
-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,11.32779998084354
-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,11.379394072345706
-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,11.35392973347977
-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,11.293524899934853
-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,11.002099841204238
-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,11.23453343942554
-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183,11.225243392518447
-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011,11.363264690415821
-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.1909999999999998,11.239803543849778
-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,11.205040685200927
-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,11.269579206338499
-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,11.343322680584048
-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,11.305901295535902
-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,11.350406535472453
-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,11.769116870330638
-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,11.320553572322773
-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,11.463735220779457
-122.29,37.81,49.0,844.0,204.0,560.0,152.0,1.75,11.225243392518447
-122.29,37.81,46.0,12.0,4.0,18.0,7.0,0.4999,11.119882876860622
-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483,11.831379196088763
-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,12.086725887897607
-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,11.533708004152757
-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,1.1111,11.592660432989081
-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,11.630708500626612
-122.28,37.8,38.0,684.0,176.0,344.0,155.0,2.0114,11.785240060290887
-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5,11.998433280751929
-122.27,37.81,52.0,210.0,56.0,183.0,56.0,1.1667,11.630708500626612
-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208,11.630708500626612
-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075,11.831379196088763
-122.28,37.81,35.0,948.0,184.0,467.0,169.0,1.8088,11.685196685910682
-122.28,37.81,52.0,773.0,143.0,377.0,115.0,2.4083,11.494761494342557
-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,11.685196685910682
-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76,11.998433280751929
-122.27,37.8,10.0,105.0,42.0,125.0,39.0,0.9722,11.831379196088763
-122.27,37.8,52.0,249.0,78.0,396.0,85.0,1.2434,13.122365377402328
-122.27,37.8,16.0,994.0,392.0,800.0,362.0,2.0938,11.998433280751929
-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668,11.831379196088763
-122.28,37.8,52.0,96.0,31.0,191.0,34.0,0.75,11.998433280751929
-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,2.6354,12.141534124392603
-122.27,37.8,39.0,1715.0,623.0,1327.0,467.0,1.8477,12.096257779522967
-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,11.77528972943772
-122.26,37.82,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,12.121603488903723
-122.26,37.81,29.0,335.0,107.0,202.0,91.0,2.0062,11.736069016284437
-122.26,37.82,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,12.043553716032399
-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,2.6104,12.170963468416605
-122.25,37.81,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,12.459939369487223
-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,12.518691203271986
-122.25,37.81,39.0,854.0,242.0,389.0,228.0,3.125,12.377922902456833
-122.25,37.81,52.0,2155.0,701.0,895.0,613.0,2.5795,12.765688433465597
-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,12.723973182968127
-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,4.9306,12.655235608904057
-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,3.2727,12.500606192931057
-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,3.1691,12.46612655086448
-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,3.9,12.527068597011889
-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,3.9063,12.323855681186558
-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,5.0917,12.478006361013815
-122.25,37.82,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,12.294541293517781
-122.25,37.82,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,12.449018824140563
-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,3.1484,12.31984765978902
-122.25,37.83,35.0,1613.0,428.0,675.0,422.0,3.4722,12.401228160304214
-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,12.352767024680977
-122.25,37.83,28.0,5022.0,1750.0,2558.0,1661.0,2.4234,12.294541293517781
-122.25,37.83,52.0,4190.0,1105.0,1786.0,1037.0,3.0897,12.363503653479002
-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,12.69954863096105
-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868,12.758807672373374
-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,5.956,12.810661799108328
-122.24,37.85,37.0,334.0,54.0,98.0,47.0,4.9643,12.721885810807203
-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,12.830940985336825
-122.24,37.84,52.0,3529.0,574.0,1177.0,555.0,5.1773,12.87261914429294
-122.24,37.85,52.0,2612.0,365.0,901.0,367.0,7.2354,12.876718560743605
-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,5.4570000000000025,12.728728021049742
-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,12.595408371708455
-122.21,37.84,44.0,3424.0,597.0,1358.0,597.0,6.0194,12.585535951099338
-122.21,37.83,40.0,4991.0,674.0,1616.0,654.0,7.5544,12.927564299099261
-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,6.0666,12.649154617209645
-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,7.0548,12.694345864825653
-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,11.6017,12.880546560824497
-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882,12.673886378702873
-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,6.8976,12.71679826429583
-122.19,37.83,28.0,1326.0,184.0,463.0,190.0,8.2049,12.722482647590065
-122.2,37.83,26.0,1589.0,223.0,542.0,211.0,8.401,12.7691111407431
-122.19,37.83,29.0,1791.0,271.0,661.0,269.0,6.8538,12.818280883584768
-122.19,37.82,32.0,1835.0,264.0,635.0,263.0,8.317,12.810115351007298
-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,7.0175,12.812299354059418
-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,6.3302,12.801606997223118
-122.18,37.81,30.0,292.0,38.0,126.0,52.0,6.3624,13.088392857833176
-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,12.7110813839746
-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851,12.686954392923091
-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,2.8929,12.28626918752445
-122.21,37.8,38.0,2254.0,535.0,951.0,487.0,3.0812,12.35922282502385
-122.21,37.81,52.0,1389.0,212.0,510.0,224.0,5.2402,12.599465172404068
-122.22,37.81,52.0,1971.0,335.0,765.0,308.0,6.5217,12.51978789502877
-122.22,37.8,52.0,2183.0,465.0,1129.0,460.0,3.2632,12.33578425205183
-122.22,37.8,52.0,2286.0,464.0,1073.0,441.0,3.0298,12.2040706428595
-122.22,37.8,52.0,2721.0,541.0,1185.0,515.0,4.5428,12.387560521575551
-122.22,37.81,52.0,2024.0,339.0,756.0,340.0,4.072,12.506547539780707
-122.22,37.81,52.0,2944.0,536.0,1034.0,521.0,5.3509,12.618513367374764
-122.23,37.8,52.0,2033.0,486.0,787.0,459.0,3.1603,12.504323669331189
-122.23,37.81,52.0,1433.0,229.0,612.0,213.0,4.7708,12.659375083052499
-122.22,37.81,52.0,2927.0,402.0,1021.0,380.0,8.1564,12.874158395494748
-122.23,37.81,52.0,2315.0,292.0,861.0,258.0,8.8793,12.924643878430278
-122.24,37.81,52.0,2485.0,313.0,953.0,327.0,6.8591,12.77252217304416
-122.24,37.81,52.0,1490.0,238.0,634.0,256.0,6.0302,12.568282244967381
-122.23,37.81,52.0,2814.0,365.0,878.0,352.0,7.507999999999999,12.761967232663743
-122.24,37.81,52.0,2093.0,550.0,918.0,483.0,2.7477,12.404103496029308
-122.24,37.8,52.0,888.0,168.0,360.0,175.0,2.1944,12.261980277468469
-122.25,37.8,52.0,2087.0,510.0,1197.0,488.0,3.0149,12.294083522852887
-122.24,37.81,52.0,2513.0,502.0,1048.0,518.0,3.675,12.505806799006097
-122.25,37.81,46.0,3232.0,835.0,1373.0,747.0,3.225,12.295913349529963
-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,12.323855681186558
-122.25,37.8,43.0,2364.0,792.0,1359.0,722.0,2.1429,12.429216196844383
-122.25,37.8,41.0,1471.0,469.0,1062.0,413.0,1.6121,12.051755285145816
-122.25,37.8,29.0,2468.0,864.0,1335.0,773.0,1.3929,12.174581978438804
-122.24,37.79,27.0,1632.0,492.0,1171.0,429.0,2.3173,11.736069016284437
-122.25,37.79,45.0,1786.0,526.0,1475.0,460.0,1.7772,11.487607656985938
-122.25,37.79,50.0,629.0,188.0,742.0,196.0,2.6458,11.736069016284437
-122.25,37.79,52.0,1339.0,391.0,1086.0,363.0,2.181,11.840789327054841
-122.25,37.8,36.0,1678.0,606.0,1645.0,543.0,2.2303,11.667361818274648
-122.25,37.8,43.0,2344.0,647.0,1710.0,644.0,1.6504,11.930319143943667
-122.24,37.8,52.0,996.0,228.0,731.0,228.0,2.2697,11.751942365440728
-122.24,37.8,52.0,1591.0,373.0,1118.0,347.0,2.1563,11.764462090785656
-122.24,37.8,52.0,1586.0,398.0,1006.0,335.0,2.1348,11.853674258358701
-122.24,37.8,47.0,2046.0,588.0,1213.0,554.0,2.6292,12.115600742366098
-122.23,37.8,52.0,1192.0,289.0,772.0,257.0,2.3833,11.897507362161969
-122.24,37.8,52.0,1803.0,420.0,1321.0,401.0,2.957,11.71831229469518
-122.24,37.8,49.0,2838.0,749.0,1487.0,677.0,2.5238,12.039427568121226
-122.23,37.8,52.0,783.0,184.0,488.0,186.0,1.9375,11.748787788692212
-122.23,37.8,51.0,1590.0,414.0,949.0,392.0,1.9028,11.759003987566935
-122.23,37.8,50.0,1746.0,480.0,1149.0,415.0,2.25,11.72399643505017
-122.23,37.8,52.0,1252.0,299.0,844.0,280.0,2.3929,11.625360894300016
-122.23,37.79,43.0,5963.0,1344.0,4367.0,1231.0,2.1917,11.633371618046096
-122.23,37.79,52.0,1783.0,395.0,1659.0,412.0,2.9357,11.588960151246226
-122.23,37.79,30.0,999.0,264.0,1011.0,263.0,1.8854,11.831379196088763
-122.24,37.79,39.0,1469.0,431.0,1464.0,389.0,2.1638,11.566466231898259
-122.24,37.79,47.0,1372.0,395.0,1237.0,303.0,2.125,11.466881526468821
-122.24,37.79,52.0,674.0,180.0,647.0,168.0,3.375,11.662207167685983
-122.24,37.79,43.0,1626.0,376.0,1284.0,357.0,2.2542,11.628038272070732
-122.25,37.79,51.0,175.0,43.0,228.0,55.0,2.1,11.225243392518447
-122.25,37.79,39.0,461.0,129.0,381.0,123.0,1.6,11.630708500626612
-122.25,37.79,52.0,902.0,237.0,846.0,227.0,3.625,11.736069016284437
-122.26,37.8,20.0,2373.0,779.0,1659.0,676.0,1.6929,11.652687407345388
-122.22,37.77,52.0,391.0,128.0,520.0,138.0,1.6471,11.461632170582678
-122.22,37.77,52.0,1137.0,301.0,866.0,259.0,2.59,11.476261480598637
-122.23,37.77,52.0,769.0,206.0,612.0,183.0,2.57,11.184421397998193
-122.23,37.78,52.0,472.0,146.0,415.0,126.0,2.6429,11.174651606402387
-122.23,37.78,52.0,862.0,215.0,994.0,213.0,3.0257,11.299732244509187
-122.22,37.78,50.0,1920.0,530.0,1525.0,477.0,1.4886,11.766016092652391
-122.23,37.78,43.0,1420.0,472.0,1506.0,438.0,1.9338,11.630708500626612
-122.23,37.78,52.0,986.0,258.0,1008.0,255.0,1.4844,11.690234479940639
-122.23,37.78,44.0,2340.0,825.0,2813.0,751.0,1.6009,11.679287002185454
-122.23,37.79,48.0,1696.0,396.0,1481.0,343.0,2.0375,11.715866308966918
-122.23,37.79,49.0,1175.0,217.0,859.0,219.0,2.293,11.57402056433004
-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,11.794337924408413
-122.23,37.79,30.0,610.0,145.0,425.0,140.0,1.6198,11.717497630699002
-122.23,37.79,40.0,930.0,199.0,564.0,184.0,1.3281,11.637794447016098
-122.22,37.79,44.0,1487.0,314.0,961.0,272.0,3.5156,11.603679828238693
-122.22,37.79,52.0,3424.0,690.0,2273.0,685.0,3.9048,12.011880916165731
-122.21,37.79,52.0,762.0,190.0,600.0,195.0,3.0893,11.736069016284437
-122.22,37.79,46.0,2366.0,575.0,1647.0,527.0,2.6042,11.733666131668128
-122.22,37.79,49.0,1826.0,450.0,1201.0,424.0,2.5,11.825544022712041
-122.22,37.79,38.0,3049.0,711.0,2167.0,659.0,2.7969,11.861467425678772
-122.2,37.79,29.0,1640.0,376.0,939.0,340.0,2.8321,11.918390573078392
-122.21,37.79,47.0,1543.0,307.0,859.0,292.0,2.9583,11.840789327054841
-122.21,37.79,34.0,2364.0,557.0,1517.0,516.0,2.8365,11.843667026882457
-122.21,37.79,35.0,1745.0,409.0,1143.0,386.0,2.875,11.876178724269083
-122.21,37.8,39.0,2003.0,500.0,1109.0,464.0,3.0682,11.960811288962345
-122.21,37.8,39.0,2018.0,447.0,1221.0,446.0,3.0757,11.925035115797062
-122.2,37.8,43.0,3045.0,499.0,1115.0,455.0,4.9559,12.517227074167097
-122.2,37.8,52.0,1547.0,293.0,706.0,268.0,4.7721,12.288113355866383
-122.21,37.8,52.0,3519.0,711.0,1883.0,706.0,3.4861,12.139398512262181
-122.2,37.8,41.0,2070.0,354.0,804.0,340.0,5.1184,12.386726145223431
-122.21,37.8,48.0,1321.0,263.0,506.0,252.0,4.0977,12.34452938867719
-122.19,37.8,48.0,1694.0,259.0,610.0,238.0,4.744,12.457997998269835
-122.19,37.8,46.0,1938.0,341.0,768.0,332.0,4.2727,12.41673867533327
-122.19,37.79,50.0,968.0,195.0,462.0,184.0,2.9844,12.100156419938624
-122.2,37.79,40.0,1060.0,256.0,667.0,235.0,4.1739,12.04119800233994
-122.2,37.8,46.0,2041.0,405.0,1059.0,399.0,3.8487,12.222437999616439
-122.19,37.8,52.0,1813.0,271.0,637.0,277.0,4.0114,12.481429068291318
-122.19,37.79,45.0,2718.0,451.0,1106.0,454.0,4.6563,12.353630209887788
-122.19,37.79,28.0,3144.0,761.0,1737.0,669.0,2.9297,11.852962767755937
-122.2,37.79,35.0,1802.0,459.0,1009.0,390.0,2.3036,11.744037185933616
-122.2,37.79,49.0,882.0,195.0,737.0,210.0,2.6667,11.711776323715394
-122.2,37.79,44.0,1621.0,452.0,1354.0,491.0,2.6189999999999998,11.810805362398455
-122.21,37.79,45.0,2115.0,533.0,1530.0,474.0,2.4167,11.845102777308561
-122.2,37.79,45.0,2021.0,528.0,1410.0,480.0,2.7788,11.656159633056136
-122.21,37.78,46.0,2239.0,508.0,1390.0,569.0,2.7352,11.829923591756062
-122.21,37.78,52.0,1477.0,300.0,1065.0,269.0,1.8472,11.827736204810263
-122.21,37.78,52.0,1056.0,224.0,792.0,245.0,2.6583,11.867798786962332
-122.21,37.78,49.0,898.0,244.0,779.0,245.0,3.0536,11.831379196088763
-122.22,37.78,44.0,2968.0,710.0,2269.0,610.0,2.3906,11.623571985057293
-122.21,37.78,43.0,1702.0,460.0,1227.0,407.0,1.7188,11.750366320985263
-122.21,37.78,47.0,881.0,248.0,753.0,241.0,2.625,11.619984537263637
-122.22,37.77,40.0,494.0,114.0,547.0,135.0,2.8015,11.650946762867603
-122.22,37.78,50.0,1776.0,473.0,1807.0,440.0,1.7276,11.535664951939717
-122.22,37.78,44.0,1678.0,514.0,1700.0,495.0,2.0801,11.789799338705405
-122.22,37.78,51.0,1637.0,463.0,1543.0,393.0,2.489,11.687718755343392
-122.21,37.76,52.0,1420.0,314.0,1085.0,300.0,1.7546,11.297253928494719
-122.21,37.77,52.0,591.0,173.0,353.0,137.0,4.0904,11.297253928494719
-122.21,37.77,52.0,745.0,153.0,473.0,149.0,2.6765,11.394141928980261
-122.2,37.77,49.0,2272.0,498.0,1621.0,483.0,2.4338,11.536641991587544
-122.21,37.77,46.0,1234.0,375.0,1183.0,354.0,2.3309,11.499840225421574
-122.21,37.77,43.0,1017.0,328.0,836.0,277.0,2.2604,11.512925464970229
-122.19,37.77,42.0,932.0,254.0,900.0,263.0,1.8039,11.432799420490943
-122.2,37.77,39.0,2689.0,597.0,1888.0,537.0,2.2562,11.459524688243112
-122.2,37.77,41.0,1547.0,415.0,1024.0,341.0,2.0562,11.532728092266408
-122.2,37.78,52.0,2300.0,443.0,1225.0,423.0,3.5398,11.972878758362462
-122.2,37.78,39.0,1752.0,399.0,1071.0,376.0,3.1167,11.708492248514204
-122.2,37.78,50.0,1867.0,403.0,1128.0,378.0,2.5401,11.768342576834733
-122.2,37.77,43.0,2430.0,502.0,1537.0,484.0,2.898,11.706846157607535
-122.21,37.78,44.0,1729.0,414.0,1240.0,393.0,2.3125,11.540540632003202
-122.19,37.78,52.0,1026.0,180.0,469.0,168.0,2.875,11.982929094215963
-122.19,37.77,52.0,2170.0,428.0,1086.0,425.0,3.3715,11.876873892875459
-122.19,37.77,52.0,2329.0,445.0,1144.0,417.0,3.5114,11.926358742727569
-122.19,37.78,52.0,2492.0,415.0,1109.0,375.0,4.3125,12.010057761604216
-122.19,37.78,52.0,2198.0,397.0,984.0,369.0,3.22,11.960811288962345
-122.18,37.78,33.0,142.0,31.0,575.0,47.0,3.875,12.323855681186558
-122.19,37.78,49.0,1183.0,205.0,496.0,209.0,5.2328,12.06795934340054
-122.19,37.78,52.0,1070.0,193.0,555.0,190.0,3.7262,12.025150109649926
-122.2,37.78,45.0,1766.0,332.0,869.0,327.0,4.5893,12.004568269319446
-122.18,37.79,39.0,617.0,95.0,236.0,106.0,5.2578,12.441144767709657
-122.18,37.79,41.0,1411.0,233.0,626.0,214.0,7.0875,12.391306623771163
-122.18,37.79,46.0,2109.0,387.0,922.0,329.0,3.9712,12.245774012381725
-122.19,37.79,47.0,1229.0,243.0,582.0,256.0,2.9514,12.196527232686643
-122.19,37.79,50.0,954.0,217.0,546.0,201.0,2.6667,12.059890135352092
-122.18,37.81,37.0,1643.0,262.0,620.0,266.0,5.4446,12.726947605149165
-122.18,37.8,34.0,1355.0,195.0,442.0,195.0,6.2838,12.670435394885823
-122.18,37.8,23.0,2317.0,336.0,955.0,328.0,6.7527,12.563047544477904
-122.13,37.77,24.0,2459.0,317.0,916.0,324.0,7.0712,12.587927887999204
-122.16,37.79,22.0,12842.0,2048.0,4985.0,1967.0,5.9849,12.823957341589573
-122.17,37.78,42.0,1524.0,260.0,651.0,267.0,3.6875,11.96591008904637
-122.17,37.77,30.0,3326.0,746.0,1704.0,703.0,2.875,11.815249814158879
-122.18,37.78,43.0,1985.0,440.0,1085.0,407.0,3.4205,11.825544022712041
-122.18,37.78,50.0,1642.0,322.0,713.0,284.0,3.2984,11.987294551725604
-122.17,37.78,49.0,893.0,177.0,468.0,181.0,3.875,11.853674258358701
-122.17,37.78,52.0,653.0,128.0,296.0,121.0,4.175,11.877568578558138
-122.16,37.77,48.0,977.0,194.0,446.0,180.0,4.7708,11.959532516409569
-122.16,37.77,45.0,2324.0,397.0,968.0,384.0,3.5739,12.078239274020289
-122.16,37.77,39.0,1583.0,349.0,857.0,316.0,3.0958,11.889991098556695
-122.17,37.77,39.0,1612.0,342.0,912.0,322.0,3.3958,11.862877863148134
-122.17,37.77,31.0,2424.0,533.0,1360.0,452.0,1.871,11.415312636103227
-122.17,37.76,41.0,1594.0,367.0,1074.0,355.0,1.9356,11.414209492031071
-122.17,37.76,47.0,2118.0,413.0,965.0,382.0,2.1842,11.588960151246226
-122.18,37.76,37.0,1575.0,358.0,933.0,320.0,2.2917,11.580584113444043
-122.17,37.76,38.0,1764.0,397.0,987.0,354.0,2.4333,11.494761494342557
-122.18,37.76,50.0,1187.0,261.0,907.0,246.0,1.9479,11.401993904262946
-122.18,37.76,52.0,754.0,175.0,447.0,165.0,3.9063,11.448920134994315
-122.18,37.76,49.0,2308.0,452.0,1299.0,451.0,1.8407,11.479368681441386
-122.18,37.77,27.0,909.0,236.0,396.0,157.0,2.0786,11.487607656985938
-122.18,37.77,42.0,1180.0,257.0,877.0,268.0,2.8125,11.485554268174097
-122.18,37.76,43.0,2018.0,408.0,1111.0,367.0,1.8913,11.420810176062423
-122.19,37.76,49.0,1368.0,282.0,790.0,269.0,1.7056,11.42300075744224
-122.18,37.77,52.0,2744.0,547.0,1479.0,554.0,2.2768,11.474184636653797
-122.18,37.77,51.0,2107.0,471.0,1173.0,438.0,3.2552,11.696080008068074
-122.18,37.77,52.0,1748.0,362.0,1029.0,366.0,2.0556,11.512925464970229
-122.19,37.76,52.0,2024.0,391.0,1030.0,350.0,2.4659,11.45846927917417
-122.2,37.76,47.0,1116.0,259.0,826.0,279.0,1.75,11.358608104585871
-122.19,37.77,41.0,2036.0,510.0,1412.0,454.0,2.0469,11.39975676686459
-122.19,37.77,45.0,1852.0,393.0,1132.0,349.0,2.7159,11.52682837013922
-122.19,37.76,41.0,921.0,207.0,522.0,159.0,1.2083,11.191341840842766
-122.19,37.76,45.0,995.0,238.0,630.0,237.0,1.925,11.213170811284177
-122.2,37.75,36.0,606.0,132.0,531.0,133.0,1.5809,11.156250521031495
-122.2,37.76,37.0,2680.0,736.0,1925.0,667.0,1.4097,11.345689545594315
-122.19,37.76,38.0,1493.0,370.0,1144.0,351.0,0.7683,11.312032522590838
-122.19,37.75,19.0,2207.0,565.0,1481.0,520.0,1.3194,11.307130551990632
-122.19,37.75,28.0,856.0,189.0,435.0,162.0,0.8012,11.312032522590838
-122.19,37.76,26.0,1293.0,297.0,984.0,303.0,1.9479,11.359774285476053
-122.19,37.74,36.0,847.0,212.0,567.0,159.0,1.1765,11.374812162840595
